id,label
10293,0.998591
3112,0.999081
10560,0.000193283
10107,0.00425302
4106,0.000199615
6236,0.999918
11099,0.000898221
3250,0.000323554
2702,0.999523
2361,3.56184e-06
9382,3.62661e-07
3029,0.998298
8220,4.02886e-05
3996,0.999957
7508,0.000116829
9956,8.07887e-05
1084,5.0132e-05
9725,0.000167243
10180,0.000114595
527,0.895806
9637,0.998653
8912,0.000135414
2422,0.999941
10815,0.198235
3193,0.000947064
8854,0.000117952
10699,0.999403
669,0.999931
11022,0.000230867
5428,0.999245
12014,0.995424
2054,0.99001
1814,0.999952
8561,0.999817
10781,0.000639333
11809,0.999613
3988,0.999756
10690,2.68925e-05
5842,0.0873294
6465,5.60354e-06
4811,5.18921e-05
11473,0.999136
8868,0.999804
11807,3.66647e-05
3520,0.990231
6901,0.999943
1048,0.999755
1956,0.999786
6368,0.999899
8069,0.00106323
11147,0.999882
11158,9.38653e-05
10717,0.998273
619,0.000110058
10794,0.999728
11284,0.999925
3433,0.999869
6664,0.999953
3784,0.999823
9058,0.760522
10750,0.99974
6001,2.98477e-05
5556,0.000293361
6892,0.964199
8150,0.00019385
3342,7.56941e-05
7641,0.999784
5145,0.999962
8890,0.0502081
5242,0.999867
581,0.999831
3940,0.999967
10255,0.999858
7777,3.90973e-06
4074,0.000239359
11092,0.999915
9140,0.999956
5879,3.47844e-05
4954,0.998938
2737,0.999991
6638,3.24406e-06
12340,0.00127161
9223,5.02555e-06
10010,0.999751
9814,0.0170636
8190,0.99878
1810,0.0287893
8941,0.000290832
12492,0.99995
6759,0.992361
12372,0.0536955
6682,0.00199648
4833,0.000170175
522,3.49377e-05
12383,0.292872
5323,6.35798e-05
4055,0.999436
1847,0.00012312
5648,0.00810657
10472,0.000131358
2185,0.999984
9257,0.0478955
9985,0.999232
7243,1.17093e-06
9611,0.0111827
4347,0.999369
8411,0.999748
7215,5.97601e-05
74,0.999671
8423,2.51358e-07
11860,3.67698e-07
6665,0.997864
10229,0.00356297
1351,0.999985
8634,0.999956
12129,5.79714e-06
2921,0.000532001
11761,0.999721
3503,7.10076e-05
2091,0.999999
9023,0.999917
5126,7.15353e-05
8530,2.84139e-06
11418,0.0109154
344,0.594508
6031,0.000218658
10318,4.96314e-07
3419,0.999999
3199,2.71795e-07
9081,2.62952e-06
7705,0.999839
2174,0.999477
5887,4.6955e-05
6939,3.64235e-05
2545,0.001988
4798,4.27811e-06
6017,0.999527
9616,0.998705
5079,0.00172533
1599,0.997895
419,0.999481
4904,0.000974294
650,0.999542
6668,0.999962
9063,0.999946
9083,0.997271
737,2.67023e-05
6259,9.44072e-05
9043,5.55379e-05
9771,0.99995
5291,0.999939
10674,9.08862e-05
1304,0.991367
12385,0.999949
5335,7.55812e-05
9289,0.999856
9269,0.999799
3826,0.999761
11480,0.000395488
8185,0.999751
1749,0.0453111
327,0.998763
3874,0.996923
3286,7.09476e-05
12243,2.94932e-05
8375,0.99626
873,0.999994
146,0.99999
8892,0.999883
6723,1.06188e-06
8518,0.99934
5211,2.1972e-05
8303,0.999623
6708,0.999984
10531,0.999991
9254,0.999985
2841,0.000527469
9893,1.60083e-05
4972,0.000298628
4996,0.999807
1966,0.99993
6241,0.998911
10931,0.000139957
7756,0.999888
5714,0.00014592
11100,0.999996
8003,0.99986
9087,4.62413e-05
588,0.000168791
7994,0.000438759
7577,0.99703
6361,0.999534
5809,0.999971
1297,6.93687e-07
360,1.92146e-05
4249,0.000180258
10707,0.999939
2876,0.999501
166,0.000173552
10376,1.58037e-06
10034,0.999988
288,6.0731e-06
12,0.999349
1916,1.0
12479,8.26182e-05
6521,7.05473e-05
9414,0.99998
7354,0.000236849
3294,0.998991
7196,0.00020476
808,0.999866
3483,0.00109019
1433,0.99989
491,0.996771
10339,0.999972
9950,0.00124813
10215,1.05601e-06
1246,7.19118e-06
2677,0.196581
3447,0.000543757
3209,0.999988
1215,0.999481
2400,0.999967
2850,0.00236705
4783,0.99978
5932,0.000162164
10029,0.999551
1423,0.132245
11984,0.999733
11686,0.994425
2990,0.999961
7097,0.999969
4750,0.998823
151,0.999996
11475,3.75479e-05
6982,0.998917
5810,0.925528
12257,6.07486e-05
4910,0.00329093
5076,0.000495499
